Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,10uF,
C2,0805,1,22uF,
"C3, C9",0805,2,1uF,
"C4, C8",0805,2,0.1uF,
D1,0805,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,PinHeader_1x03_P2.54mm_Vertical,1,RGB Connector,C49257
J3,PinHeader_1x03_P2.54mm_Vertical,1,Power Connector,C49257
"R1, R2",0805,2,5.1k,
R3,0805,1,330R,
"R4, R5, R6",0805,3,10k,
"R7, R8",0805,2,0R,
SW1,TS-1088-AR02016,1,RESET,C720477
SW2,TS-1088-AR02016,1,BOOT,C720477
U1,SOT-223-3_TabPin2,1,AZ1117CH-3.3TRG1,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-H4,C41349510
U4,SOT-23-5,1,MCP1416,
